Latitude: 39.20740285, Longitude: 117.22620923, Heading: 75.12000000, Status: 2
Latitude: 39.20740285, Longitude: 117.22620923, Heading: 75.10000000, Status: 2
Latitude: 39.20740285, Longitude: 117.22620923, Heading: 75.12000000, Status: 2
Latitude: 39.20740286, Longitude: 117.22620923, Heading: 75.12000000, Status: 2
Latitude: 39.20740286, Longitude: 117.22620922, Heading: 75.11000000, Status: 2
Latitude: 39.20740286, Longitude: 117.22620922, Heading: 75.11000000, Status: 2
Latitude: 39.20740286, Longitude: 117.22620922, Heading: 75.12000000, Status: 2
Latitude: 39.20740286, Longitude: 117.22620921, Heading: 75.11000000, Status: 2
Latitude: 39.20740287, Longitude: 117.22620921, Heading: 75.12000000, Status: 2
Latitude: 39.20740287, Longitude: 117.22620921, Heading: 75.14000000, Status: 2
Latitude: 39.20740287, Longitude: 117.22620921, Heading: 75.13000000, Status: 2
Latitude: 39.20740287, Longitude: 117.22620921, Heading: 75.13000000, Status: 2
Latitude: 39.20740287, Longitude: 117.22620921, Heading: 75.14000000, Status: 2
Latitude: 39.20740286, Longitude: 117.22620920, Heading: 75.14000000, Status: 2
Latitude: 39.20740286, Longitude: 117.22620920, Heading: 75.13000000, Status: 2
Latitude: 39.20740286, Longitude: 117.22620920, Heading: 75.14000000, Status: 2
Latitude: 39.20740285, Longitude: 117.22620920, Heading: 75.14000000, Status: 2
Latitude: 39.20740285, Longitude: 117.22620920, Heading: 75.15000000, Status: 2
Latitude: 39.20740285, Longitude: 117.22620919, Heading: 75.14000000, Status: 2
Latitude: 39.20740286, Longitude: 117.22620919, Heading: 75.15000000, Status: 2
Latitude: 39.20740286, Longitude: 117.22620919, Heading: 75.15000000, Status: 2
Latitude: 39.20740286, Longitude: 117.22620918, Heading: 75.17000000, Status: 2
Latitude: 39.20740287, Longitude: 117.22620918, Heading: 75.16000000, Status: 2
Latitude: 39.20740288, Longitude: 117.22620917, Heading: 75.17000000, Status: 2
Latitude: 39.20740288, Longitude: 117.22620917, Heading: 75.15000000, Status: 2
Latitude: 39.20740288, Longitude: 117.22620917, Heading: 75.15000000, Status: 2
Latitude: 39.20740288, Longitude: 117.22620916, Heading: 75.15000000, Status: 2
Latitude: 39.20740288, Longitude: 117.22620916, Heading: 75.16000000, Status: 2
Latitude: 39.20740289, Longitude: 117.22620915, Heading: 75.18000000, Status: 2
Latitude: 39.20740290, Longitude: 117.22620916, Heading: 75.19000000, Status: 2
Latitude: 39.20740291, Longitude: 117.22620916, Heading: 75.22000000, Status: 2
Latitude: 39.20740292, Longitude: 117.22620915, Heading: 75.23000000, Status: 2
Latitude: 39.20740292, Longitude: 117.22620915, Heading: 75.22000000, Status: 2
Latitude: 39.20740294, Longitude: 117.22620914, Heading: 75.22000000, Status: 2
Latitude: 39.20740294, Longitude: 117.22620914, Heading: 75.20000000, Status: 2
Latitude: 39.20740295, Longitude: 117.22620914, Heading: 75.20000000, Status: 2
Latitude: 39.20740295, Longitude: 117.22620914, Heading: 75.18000000, Status: 2
Latitude: 39.20740296, Longitude: 117.22620913, Heading: 75.17000000, Status: 2
Latitude: 39.20740297, Longitude: 117.22620913, Heading: 75.16000000, Status: 2
Latitude: 39.20740296, Longitude: 117.22620914, Heading: 75.16000000, Status: 2
Latitude: 39.20740297, Longitude: 117.22620914, Heading: 75.16000000, Status: 2
Latitude: 39.20740297, Longitude: 117.22620914, Heading: 75.16000000, Status: 2
Latitude: 39.20740298, Longitude: 117.22620914, Heading: 75.17000000, Status: 2
Latitude: 39.20740298, Longitude: 117.22620914, Heading: 75.17000000, Status: 2
Latitude: 39.20740298, Longitude: 117.22620914, Heading: 75.17000000, Status: 2
Latitude: 39.20740298, Longitude: 117.22620915, Heading: 75.17000000, Status: 2
Latitude: 39.20740299, Longitude: 117.22620918, Heading: 75.16000000, Status: 2
Latitude: 39.20740301, Longitude: 117.22620928, Heading: 75.14000000, Status: 2
Latitude: 39.20740305, Longitude: 117.22620946, Heading: 75.17000000, Status: 2
Latitude: 39.20740310, Longitude: 117.22620973, Heading: 75.16000000, Status: 2
Latitude: 39.20740317, Longitude: 117.22621007, Heading: 75.16000000, Status: 2
Latitude: 39.20740326, Longitude: 117.22621049, Heading: 75.17000000, Status: 2
Latitude: 39.20740335, Longitude: 117.22621099, Heading: 75.16000000, Status: 2
Latitude: 39.20740346, Longitude: 117.22621155, Heading: 75.17000000, Status: 2
Latitude: 39.20740358, Longitude: 117.22621217, Heading: 75.17000000, Status: 2
Latitude: 39.20740371, Longitude: 117.22621284, Heading: 75.18000000, Status: 2
Latitude: 39.20740385, Longitude: 117.22621357, Heading: 75.19000000, Status: 2
Latitude: 39.20740400, Longitude: 117.22621434, Heading: 75.19000000, Status: 2
Latitude: 39.20740416, Longitude: 117.22621514, Heading: 75.20000000, Status: 2
Latitude: 39.20740431, Longitude: 117.22621598, Heading: 75.20000000, Status: 2
Latitude: 39.20740448, Longitude: 117.22621684, Heading: 75.21000000, Status: 2
Latitude: 39.20740465, Longitude: 117.22621772, Heading: 75.21000000, Status: 2
Latitude: 39.20740483, Longitude: 117.22621863, Heading: 75.21000000, Status: 2
Latitude: 39.20740501, Longitude: 117.22621954, Heading: 75.22000000, Status: 2
Latitude: 39.20740519, Longitude: 117.22622046, Heading: 75.21000000, Status: 2
Latitude: 39.20740536, Longitude: 117.22622139, Heading: 75.21000000, Status: 2
Latitude: 39.20740555, Longitude: 117.22622232, Heading: 75.21000000, Status: 2
Latitude: 39.20740572, Longitude: 117.22622324, Heading: 75.20000000, Status: 2
Latitude: 39.20740590, Longitude: 117.22622416, Heading: 75.21000000, Status: 2
Latitude: 39.20740606, Longitude: 117.22622509, Heading: 75.20000000, Status: 2
Latitude: 39.20740623, Longitude: 117.22622600, Heading: 75.19000000, Status: 2
Latitude: 39.20740640, Longitude: 117.22622690, Heading: 75.20000000, Status: 2
Latitude: 39.20740657, Longitude: 117.22622779, Heading: 75.20000000, Status: 2
Latitude: 39.20740673, Longitude: 117.22622865, Heading: 75.20000000, Status: 2
Latitude: 39.20740688, Longitude: 117.22622949, Heading: 75.21000000, Status: 2
Latitude: 39.20740703, Longitude: 117.22623030, Heading: 75.21000000, Status: 2
Latitude: 39.20740718, Longitude: 117.22623107, Heading: 75.21000000, Status: 2
Latitude: 39.20740731, Longitude: 117.22623180, Heading: 75.22000000, Status: 2
Latitude: 39.20740744, Longitude: 117.22623252, Heading: 75.21000000, Status: 2
Latitude: 39.20740759, Longitude: 117.22623320, Heading: 75.21000000, Status: 2
Latitude: 39.20740773, Longitude: 117.22623386, Heading: 75.20000000, Status: 2
Latitude: 39.20740786, Longitude: 117.22623451, Heading: 75.20000000, Status: 2
Latitude: 39.20740799, Longitude: 117.22623515, Heading: 75.20000000, Status: 2
Latitude: 39.20740812, Longitude: 117.22623576, Heading: 75.19000000, Status: 2
Latitude: 39.20740825, Longitude: 117.22623636, Heading: 75.19000000, Status: 2
Latitude: 39.20740837, Longitude: 117.22623695, Heading: 75.19000000, Status: 2
Latitude: 39.20740849, Longitude: 117.22623752, Heading: 75.18000000, Status: 2
Latitude: 39.20740860, Longitude: 117.22623807, Heading: 75.18000000, Status: 2
Latitude: 39.20740872, Longitude: 117.22623860, Heading: 75.18000000, Status: 2
Latitude: 39.20740884, Longitude: 117.22623912, Heading: 75.18000000, Status: 2
Latitude: 39.20740896, Longitude: 117.22623964, Heading: 75.18000000, Status: 2
Latitude: 39.20740908, Longitude: 117.22624017, Heading: 75.17000000, Status: 2
Latitude: 39.20740920, Longitude: 117.22624072, Heading: 75.18000000, Status: 2
Latitude: 39.20740932, Longitude: 117.22624128, Heading: 75.17000000, Status: 2
Latitude: 39.20740945, Longitude: 117.22624186, Heading: 75.17000000, Status: 2
Latitude: 39.20740958, Longitude: 117.22624247, Heading: 75.17000000, Status: 2
Latitude: 39.20740972, Longitude: 117.22624309, Heading: 75.17000000, Status: 2
Latitude: 39.20740986, Longitude: 117.22624374, Heading: 75.17000000, Status: 2
Latitude: 39.20741000, Longitude: 117.22624439, Heading: 75.16000000, Status: 2
Latitude: 39.20741016, Longitude: 117.22624507, Heading: 75.16000000, Status: 2
Latitude: 39.20741031, Longitude: 117.22624576, Heading: 75.17000000, Status: 2
Latitude: 39.20741046, Longitude: 117.22624646, Heading: 75.16000000, Status: 2
Latitude: 39.20741062, Longitude: 117.22624717, Heading: 75.16000000, Status: 2
Latitude: 39.20741077, Longitude: 117.22624787, Heading: 75.17000000, Status: 2
Latitude: 39.20741093, Longitude: 117.22624859, Heading: 75.16000000, Status: 2
Latitude: 39.20741109, Longitude: 117.22624930, Heading: 75.16000000, Status: 2
Latitude: 39.20741124, Longitude: 117.22625001, Heading: 75.15000000, Status: 2
Latitude: 39.20741141, Longitude: 117.22625070, Heading: 75.15000000, Status: 2
Latitude: 39.20741156, Longitude: 117.22625138, Heading: 75.12000000, Status: 2
Latitude: 39.20741172, Longitude: 117.22625206, Heading: 75.15000000, Status: 2
Latitude: 39.20741186, Longitude: 117.22625275, Heading: 75.13000000, Status: 2
Latitude: 39.20741202, Longitude: 117.22625344, Heading: 75.13000000, Status: 2
Latitude: 39.20741217, Longitude: 117.22625412, Heading: 75.15000000, Status: 2
Latitude: 39.20741231, Longitude: 117.22625479, Heading: 75.14000000, Status: 2
Latitude: 39.20741245, Longitude: 117.22625544, Heading: 75.16000000, Status: 2
Latitude: 39.20741259, Longitude: 117.22625607, Heading: 75.15000000, Status: 2
Latitude: 39.20741273, Longitude: 117.22625670, Heading: 75.14000000, Status: 2
Latitude: 39.20741287, Longitude: 117.22625731, Heading: 75.15000000, Status: 2
Latitude: 39.20741299, Longitude: 117.22625790, Heading: 75.14000000, Status: 2
Latitude: 39.20741313, Longitude: 117.22625849, Heading: 75.15000000, Status: 2
Latitude: 39.20741325, Longitude: 117.22625906, Heading: 75.16000000, Status: 2
Latitude: 39.20741336, Longitude: 117.22625960, Heading: 75.16000000, Status: 2
